date,open,high,low,close,volume,price_change,p_change,ma5,v_ma5
2016-11-11,24.9,25.3,24.5,25.11,107587.03,0.15,0.6,24.406,98378.77
2016-11-10,24.48,25.4,24.23,24.96,112731.55,0.54,2.21,24.044,88451.48
2016-11-09,24.4,24.79,23.63,24.44,121654.84,-0.03,-0.12,23.692,87662.5
2016-11-08,23.17,24.5,22.95,24.46,105850.97,1.41,6.12,23.424,84457.15
2016-11-07,23.11,23.39,22.84,23.06,44069.47,-0.33,-1.41,23.312,84152.81
2016-11-04,23.17,23.65,22.8,23.3,57950.55,0.09,0.39,23.554,105512.66
2016-11-03,23.16,23.51,22.65,23.2,108786.66,0.13,0.56,23.672,113321.44
2016-11-02,23.8,23.99,23.0,23.1,105628.11,-0.78,-3.27,23.836,110733.47
2016-11-01,24.1,24.6,23.63,23.9,104329.24,-0.35,-1.44,24.036,119817.06
2016-10-31,23.78,24.75,23.51,24.27,150868.73,0.38,1.59,23.906,129190.13
2016-10-28,24.1,24.2,23.05,23.89,96994.48,-0.15,-0.62,23.428,111823.39
2016-10-27,23.89,24.28,23.89,24.02,95846.8,-0.08,-0.33,22.844,99517.38
2016-10-26,23.25,24.56,22.8,24.1,151046.05,0.86,3.7,22.286,85535.53
2016-10-25,21.61,23.58,21.61,23.25,151194.61,1.37,6.26,21.716,61554.62
2016-10-24,21.15,21.98,21.04,21.88,64035.03,0.91,4.34,21.332,39047.25
2016-10-21,21.15,21.34,20.78,20.97,35464.4,-0.26,-1.23,21.152,36009.93
2016-10-20,21.25,21.4,21.08,21.23,25937.57,0.04,0.19,21.308,40673.52
2016-10-19,21.35,21.56,21.09,21.25,31141.48,-0.07,-0.33,21.512,43619.72
2016-10-18,21.14,21.35,20.81,21.33,38657.79,0.33,1.57,21.788,58165.29
2016-10-17,21.99,22.09,20.96,20.98,48848.43,-0.77,-3.54,21.996,66075.53
2016-10-14,22.2,22.2,21.48,21.75,58782.33,-0.49,-2.2,22.15,67596.25
2016-10-13,22.43,22.75,22.13,22.25,40668.55,-0.39,-1.72,22.12,65636.04
2016-10-12,22.3,23.25,22.12,22.63,103869.33,0.26,1.16,21.928,74725.26
2016-10-11,21.59,22.47,21.59,22.37,78209.0,0.61,2.8,21.574,73067.55
2016-10-10,21.9,21.9,21.11,21.75,56452.05,0.18,0.83,21.076,66011.57
2016-09-30,21.19,21.75,21.13,21.6,48981.25,0.31,1.46,20.586,76636.22
2016-09-29,20.85,21.85,20.56,21.29,86114.68,0.43,2.06,20.504,78091.44
2016-09-28,19.88,20.98,19.71,20.86,95580.75,0.98,4.93,20.458,73619.52
2016-09-27,19.3,19.9,19.29,19.88,42929.14,0.59,3.06,20.47,63206.81
2016-09-26,21.03,21.1,19.19,19.3,109575.26,-1.89,-8.92,20.652,73969.82
2016-09-23,21.06,21.53,20.8,21.19,56257.38,0.13,0.62,21.022,70512.26
2016-09-22,20.95,21.5,20.94,21.06,63755.07,0.13,0.62,21.168,65452.41
2016-09-21,20.78,20.96,20.62,20.92,43517.18,0.12,0.58,21.336,64886.94
2016-09-20,21.16,21.31,20.44,20.79,96744.23,-0.35,-1.66,21.54,78801.53
2016-09-19,21.95,22.1,21.1,21.15,92287.46,-0.8,-3.65,21.998,95964.67
2016-09-14,21.8,22.06,21.6,21.92,30958.12,0.0,0.0,22.618,104741.17
2016-09-13,22.1,22.3,21.58,21.9,60927.69,-0.03,-0.14,23.13,144275.06
2016-09-12,22.5,22.77,21.5,21.94,113090.14,-1.06,-4.61,23.348,159330.53
2016-09-09,23.92,24.06,22.6,23.08,182559.94,-1.14,-4.71,23.516,158412.12
2016-09-08,24.8,24.8,23.81,24.25,136169.94,-0.24,-0.98,23.47,168695.44
2016-09-07,23.2,24.94,23.0,24.48,228627.59,1.49,6.48,23.192,193177.05
2016-09-06,22.74,24.07,22.74,22.99,136205.03,0.23,1.01,22.45,151935.44
2016-09-05,22.57,23.48,22.57,22.78,108498.1,-0.07,-0.31,21.992,133160.42
2016-09-02,22.33,23.8,22.33,22.85,233976.56,0.0,0.0,21.654,121822.2
2016-09-01,20.85,22.86,20.75,22.86,258577.98,2.08,10.01,21.432,81798.03
2016-08-31,20.92,20.94,20.65,20.77,22419.51,0.07,0.34,21.21,40255.61
2016-08-30,21.12,21.3,20.61,20.7,42329.96,-0.39,-1.85,21.462,50635.99
2016-08-29,21.87,21.87,21.0,21.09,51807.0,-0.67,-3.08,21.63,53424.79
2016-08-26,21.79,21.95,21.61,21.74,33855.69,-0.02,-0.09,21.85,56061.41
2016-08-25,21.8,22.03,21.53,21.75,50865.89,-0.26,-1.18,21.926,69304.58
2016-08-24,21.88,22.38,21.75,22.03,74321.39,0.49,2.27,22.096,90504.39
2016-08-23,22.41,22.41,21.38,21.54,56274.0,-0.66,-2.97,22.17,103081.87
2016-08-22,22.08,22.4,21.8,22.19,64990.1,0.0,0.0,22.42,129930.07
2016-08-19,22.6,22.6,21.99,22.12,100071.53,-0.57,-2.51,22.38,146294.79
2016-08-18,22.41,23.04,22.22,22.6,156864.94,0.23,1.03,22.224,142835.86
2016-08-17,22.51,22.78,21.83,22.4,137208.8,-0.38,-1.67,21.874,125241.81
2016-08-16,21.81,23.0,21.81,22.79,190514.98,0.8,3.64,21.594,112768.84
2016-08-15,21.6,22.38,21.18,21.99,146813.69,0.65,3.05,21.376,97845.51
2016-08-12,20.77,21.6,20.71,21.34,82776.91,0.53,2.55,21.206,85155.12
2016-08-11,21.09,21.25,20.77,20.85,68894.68,-0.16,-0.76,21.27,94768.66
2016-08-10,21.44,21.5,20.98,21.0,74843.92,-0.68,-3.14,21.48,106081.23
2016-08-09,21.14,21.7,20.8,21.7,115898.33,0.54,2.55,21.712,129499.93
2016-08-08,21.41,21.55,20.8,21.14,83361.75,-0.52,-2.4,21.532,139013.09
2016-08-05,22.15,22.7,21.55,21.66,130844.6,-0.26,-1.19,21.396,143629.78
2016-08-04,21.79,22.0,21.31,21.9,125457.57,-0.23,-1.04,21.21,142209.25
2016-08-03,21.0,22.45,20.51,22.16,191937.39,1.39,6.69,21.058,154385.73
2016-08-02,20.55,21.12,20.17,20.8,163464.12,0.38,1.86,21.16,178003.99
2016-08-01,20.37,21.22,20.03,20.46,106445.22,-0.23,-1.11,21.324,182519.0
2016-07-29,20.92,21.74,20.52,20.73,123741.96,-0.39,-1.85,21.628,201942.85
2016-07-28,21.98,22.14,20.85,21.14,186339.94,-1.52,-6.71,21.474,204821.74
2016-07-27,21.82,23.35,21.3,22.67,310028.69,1.07,4.95,21.066,200900.22
2016-07-26,22.15,22.78,21.2,21.62,186039.19,-0.36,-1.64,20.226,151529.85
2016-07-25,20.17,21.98,20.0,21.98,203564.47,2.0,10.01,19.502,122860.31
2016-07-22,19.41,20.8,18.82,19.96,138136.42,0.87,4.56,18.768,94084.82
2016-07-21,18.31,19.53,18.25,19.1,166732.31,0.63,3.41,18.44,87676.73
2016-07-20,18.17,18.73,18.09,18.47,63176.86,0.48,2.67,18.154,63918.98
2016-07-19,18.3,18.3,17.9,18.0,42691.51,-0.31,-1.69,17.986,62096.75
2016-07-18,18.0,18.52,18.0,18.31,59686.98,-0.01,-0.06,17.9,69775.44
2016-07-15,17.69,18.79,17.69,18.32,106095.98,0.64,3.62,17.828,76686.32
2016-07-14,17.6,17.73,17.21,17.67,47943.58,0.04,0.23,17.854,93348.84
2016-07-13,17.88,17.89,17.53,17.63,54065.69,0.05,0.28,18.052,93511.43
2016-07-12,17.82,17.95,17.05,17.57,81084.98,-0.38,-2.12,17.918,82929.92
2016-07-11,18.0,18.5,17.71,17.95,94241.36,-0.52,-2.81,17.488,71636.11
2016-07-08,19.5,19.5,18.15,18.45,189408.58,-0.21,-1.12,16.946,57904.18
2016-07-07,18.66,18.66,18.41,18.66,48756.55,1.7,10.02,16.206,25103.33
